index,Name,Type (Food Specialty),Location (Province),Locaton (Add-ons),Ratings (Stars),Operation time,Contacts (Tel.),Details (Comment/Desc)
61,ตำนัว อุดร (ซอยจุ๊ ก้อยขม ส้มตำ ยำแซ่บ) อาหารอีสาน,"อาหารอีสาน, ซีฟู๊ด, หมูกะทะ",เชียงใหม่,5-6 หมื่นด้ามพร้าคต ซอย 6 ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ เชียงใหม่ 50200,4.80,10:00 - 21:00,0954489241,"อากาศร้อนๆ มาพร้อมกับเครื่องดื่มเย็นๆ และกับแกล้มเด็ดๆ มาร้านอุดร ต้องลองเมนูที่เป็นอุดรๆลงท้าย เพราะคิด(เอาเอง)ว่าน่าจะเป็นเมนู Signature ของร้าน
 กุ้งแช่แซ่บอุดร กุ้งสดมาก ไม่คาว น้ำจิ้มแซ่บมาก คล้ายน้ำจิ้มสามรส แต่ไม่ใช่ เจ้าของร้านบอกว่าเป็นน้ำจิ้มสูตรอุดร
 ตำปูม้าสด แซ่บนัว ปูม้าสดๆ ไม่คาวเลย เคยกินบางร้าน คือคาวไม่ไหว แต่ที่นี่ไม่มีกลิ่นคาวเลย ปลาร้าหอมนัว แบบอีสานจริงๆ
ซอยจุ๊(สุก) เราไม่กล้ากินแบบดิบ เลยสั่งแบบสุกมา ทางร้านมีให้เลือกแบบดิบ สุก สะดุ้ง แล้วแต่ลูกค้าเลย ว่าชอบแบบไหน แจ้งทางร้านได้
ต้มแซ่บเนื้อ แซ่บอุดร เนื้อไม่เหนียว ซดน้ำซุปร้อนๆ อร่อยมาก

ทางร้านไม่มีที่จอดรถ หากขับรถยนต์มาต้องหาจอดข้างทาง อาจหายากนิดนึง มอเตอร์ไซค์น่าจะสะดวกสุดในย่านนี้"
62,Riverside Restaurant&Bar Bungkan (ริเวอร์ไซค์ บึงกาฬ),"อาหารอีสาน, อาหารนานาชาติ",บึงกาฬ,ตำบล วิศิษฐ์ อำเภอเมืองบึงกาฬ บึงกาฬ 38000,3.60,16:00 - 23:00,0872229899,"คืนแรกในจังหวดบึงกาฬ เลือกร้านริมแม่น้ำโขง แลนด์มาร์คของจังหวัด คืนวันศุกร์ เสาร์ มีตลาดต้องชม น่าเดินมาก ที่จอดรถสะดวก
ภายในร้านกว้างขวาง ตกแต่งสวยงาม มีโซนดนตรีหน้าร้าน ห้องแอร์ และไวน์บาร์ มีไวน์ และเบียร์อิมพอร์ตให้เลือกพอสมควร
สั่งลาบปลาน้ำโขง และเนื้อโคขุนย่างจิ้มแจ่ว อร่อย คุณภาพมาตรฐาน แกล้มเครื่องดื่มเย็นๆ ชมวิวโขง ฟังเพลงเพราะๆ ฟินสุดๆ
มาบึงกาฬ แนะนำร้านนี้ครับ"
63,บ้านน้ำเคียงฟ้า (สวนอาหารสวัสดิการชลประทานบ้านน้ำเคียงฟ้า),อาหารอีสาน,สระบุรี,คลองเพรียว อำเภอเมืองสระบุรี สระบุรี 18000,3.70,10:00 - 19:00,0617928299,"ร้านอาหารตั้งอยู่ริมบึงน้ำเลยครับ มีที่จอดรถสะดวกดีครับ เดินเข้าร้านมาสั่งอาหาร ไม่นานอาหารก็ทะยอยมาเสิร์ฟ เสพบรรยากาศรับลม ชิลๆไปครับผม

""ยำผักหวานกุ้งสด"" ผักหวานกรอบ กุ้งเนื้อเด้งดีครับ น้ำยำรสชาติกลมกล่อม มานกันเพลินๆ

""ต้มยำปลาเนื้ออ่อน"" รสชาติจัดจ้านครับ แซ่บจริงครับ ซดน้ำด้วยความระวังนะครับ สำลักจะแย่เอาได้นะครับ ปลาสดดีครับ ไม่มีกลิ่นคาวเลยครับ ทำมาได้ดีครับ

""หนุมานคลุกฝุ่น"" ผัดเผ็ดมาในกระทะร้อน เลือกเป็นรวมทะเล กุ้ง หอย ปู ทะเลมาเต็มๆครับผม

""ไก่มะนาว"" เมนูนี้เด็กๆน่าจะชอบกัน เป็นไก่ทอดกรอบๆ ราดซอสครีมมะนาว ทานเล่นเพลินๆครับผม

""ข้าวผัดปู"" มาสองคนเลยเลือกเป็นจานกลางครับ ที่นี่เป็นแบบไม่แห้งนะครับ แต่ก็ไม่เละ ทานได้ครับอร่อยดีไปอีกแบบครับ

เมนูเค้ามีเยอะเลยครับ ส่วนเครื่องดื่มก็มีให้ได้เลือกดื่มกันไปครับ แน่นอน หนนี้จัดเบียร์เย็นๆ ช่างชื่นใจเสียจริงครับ มีโอกาสก็ลองแวะเวียนใช้บริการกันไปได้ครับผม "
64,จิ้มจุ่มแซบอีสาน แจ่วฮ้อนยกซด,อาหารอีสาน,กรุงเทพมหานคร,"269 Sirindhorn Rd, Bang Bumru, Bang Phlat, Bangkok 10700",4.50,16:00 - 00:00,0925546225,"ไม่รู้ว่าเรามารีวิวครั้งที่เท่าไหร่ แต่มันคือร้านโปรดของเราขับเข้ามาเลยเส้นสิรินธรก่อนจะข้ามแยกบางพลัดอยู่แถวหน้าตั้งฮั่วเส็ง มีร้านจอดรถข้างหน้าให้ ตรงข้างเซเว่นร้านเป็นสองคูหาใต้เต๊นท์แต่ใหญ่กว้างโล่งสบายไม่แออัดอย่างที่คิด ราคามิตรภาพมาก 50 60 สั่งได้เยอะ เต็มโต๊ะ ไม่ถึง 1000 แน่นอนถ้าไม่กินเครื่องดื่มนะ
ร้านนี้เค้ามีขนมหวาน เครื่องดื่มด้วย บิงซู ฮันนี่โทส มาได้เลยมาร้านเดียวครบ อ่านต่อได้ที่"
65,บางกอกอีสานจุ่มแซบ,อาหารอีสาน,กรุงเทพมหานคร,256/43-44 จรัญสนิทวงศ์ อยู่ตรงข้ามแม็คโครจรัญสนิทวงศ์ ติดปั๊มน้ำมันเซลล์ ,4.30,15:00 - 00:00,0817929164,"ร้านสองคูหา​ ตั้งติดปั้มน้ำมัน​ มีที่จอดรถอยู่หลังร้าน

ราคาอาหารกลางๆ​ ไม่ได้แพงหรือถูกไป​ อยู่ในเกณฑ์รับได้

รสชาติอาหารโดยรวม​ถูกปรับให้เหมาะกับคนกรุงเทพ​กินได้ง่ายๆ​ รสชาติไม่จัดมากเกินไป

อยากจะแนะนำปลาดุกทอดกรอบ​ อันนี้สุดจริง​ กรอบนอกนุ่มใน​ อีกเมนูคือหม้อจิ้มจุ่มขนาดใหญ่พิเศษ​เครื่องแน่นๆ​ กินกันแน่นๆเลย"
66,อีสานตำแซ่บๆ,อาหารอีสาน,กรุงเทพมหานคร,"457/214 Bang Khun Si, Bangkok Noi, Bangkok 10700",5.00,10:00 - 19:00,0817929164,Great dinning experience. We had a wonderful hot pot twice in a week. Great food and lovely place. Thank you
67,หลีจิ้มจุ่ม ส้มตำ,อาหารอีสาน,กรุงเทพมหานคร,"32 Charan Sanit Wong Rd, Ban Chang Lo, Bangkok Noi, Bangkok 10700",1.70,10:00 - 21:00,0967395858,ร้านอยู่ด้านหน้า KFC ตรงฟุตบาทริมถนน เปิดช่วงเย็นตั้งแต่ 5 โมงเย็นเป็นต้นไป วันนี้สั่งจิ้มจุ่มหมู 140 บาท อร่อยเริ่ด โดยเฉพาะน้ำจิ้ม คล้ายน้ำจิ้มแจ่ว เด็ดมากค่ะ ส้มตำถาด 150 บาท เลือกส้มตำไทย ปู อันนี้เฉยๆ ค่ะ ปลาช่อนเผาเกลือ 250 บาท อันนี้แอบแพงเวอร์ แต่ปลาอร่อยดีค่ะ
68,ร้านแซ่บอีสานปิ่นเกล้า,อาหารอีสาน,กรุงเทพมหานคร,"63, 167 ซอย ดุสิตาราม, Arun Amarin, Bangkok Noi, Bangkok 10700",4.40,10:00 - 22:00,0906372535,"ปกติเดินผ่านร้านนี้บ่อย ผ่านไปผ่านมาก็จะเห็นว่ามีคนนั่งอยู่เยอะแยะมากมาย ครั้งนี้เป็นครั้งแรกที่ได้ลองแวะเข้ามากิน รสชาติดีพอสมควร

ตำปูปลาร้ารสชาติออกเค็มเปรี้ยว น้ำตกหมูอร่อยเคี้ยวเพลิน่วนหนึ่งเพราะทางร้านใส่ข้าวคั่วเยอะ เครื่องถึง แต่ติดเค็มมากไปหน่อย อ่อมปลากดุก ทางร้านไม่มีปลาดุกดิบจึงใช้ปลาดุกย่างแทน ตัวอ่อนใส่ผักน้อยไปหน่อย

รวมๆ อาหารทุกอย่างรสติดเค็มเป็นหลัก โดยเฉพาะน้ำตกหมูถ้าไม่กินกับข้าวเหนียวคือเค็มมาก"
69,อีสานกรองแก้ว,อาหารอีสาน,กรุงเทพมหานคร,"Bang Yi Khan, Bang Phlat, Bangkok 10700",4.10,10:00 - 22:00,0847346359,อาหารอร่อย ดนตรีเพราะ บรรณยากาสใช้ได้ครับ นักร้องสาวสวย พร้อมเด็กเสร๊พอุปนิสัย บริการดี น่ารัก
70,ร้านบุญทอนอาหารอีสาน (ข้างกระทรวงมหาดไทย),อาหารอีสาน,กรุงเทพมหานคร,ถ. บำรุงเมือง แขวงศาลเจ้าพ่อเสือ เขตพระนคร กรุงเทพมหานคร 10200,3.80,09:00 - 18:00,022262837,"อีสานบุญทอน โภชนา

พี่ๆลากมาต่ออีกร้าน ร้านอยู่หลังกระทรวงนี่เอง เป็นร้านอาหารอีสานที่คนเเถวๆนี้รู้จักกันดี อาหารรสชาติกลางๆ เป็นร้านค่อนข้างใหญ่ มาช่วงกลางวันคนจะเยอะหน่อย อาหารหลากหลาย ราคาไม่เเพงมาก การบริการรวดเร็วเป็นกันเองดี"
71,ส้มตำนัว (เจ้าเก่าสยาม),อาหารอีสาน,กรุงเทพมหานคร,สยามสแควร์ ซ.5,3.70,10:30 - 20:30,0800681022,ร้านอาหารอีสานที่ทำอาหารได้ดั้งเดิมเข้มข้น สมกับเป็นอาหารอีสานขนานแท้ แถมมีการประยุกต์ต่าง ๆ ให้มีความหลากหลาย ส่วนตัวแล้วร้านตำนัวเป็นร้านอาหารอีสานที่ติดใจ และค่อนข้างวางใจได้ถึงรสชาติที่คงเส้นคงวา แม้ราคาหลาย ๆ เมนูจะค่อนข้างสูงหน่อย แต่ไม่เสียเงินเปล่าแน่นอน
72,แซ่บวัน ตำซั่ว,อาหารอีสาน,กรุงเทพมหานคร,"84/1, ถนน รัชดาภิเษก ห้วยขวาง ห้วยขวาง กรุงเทพมหานคร กรุงเทพมหานคร (ตรงข้ามบิ๊กซีรัชดา)",3.80,09:00 - 22:30 ,0817513181,ใครได้มาแถว MRT ศูนย์วัฒนธรรม หาร้านส้มตำทาน แนะนำเลยครับร้านนี้ ได้ลองเข้ามาในร้านสั่งอาหาร 4 อย่าง อาหารออกเร็วมาก รอไม่นาน ชอบเมนูตำซั่วไทยที่เผ็ด และรสชาติเหมือนร้านใช้มะนาวจริงทำอร่อยใช้ได้ครับ และอีกเมนู คือไก่ย่าง รสชาติโอเคร นุ่ม ไม่แห้งเกินไป
73,พระราม 9 ไก่ย่าง,อาหารอีสาน,กรุงเทพมหานคร,25/8 ถนนพระราม 9 กรุงเทพมหานคร (ร้านอยู่ปากซอยพระราม 9 ซอย 39 ติดถนนใหญ่),3.60,09:30 - 20:30,023183939,รามาร้านนี้เป็นครั้งที่2 ค่ะ คราวนี้มากันหลายคนค่ะ เลยได้ลองหลายเมนู แล้วคราวนี้ได้ลองอาหาร หลายอย่างมากทำให้ ความคิด ตอนทานครั้งแรกเปลี่ยนไปเลยค่ะ เพราะวันนั้นมากันสองคน แล้วลงความเห็นกันว่า ไก่ไม่อร่อย แต่วันนี้ ไก่อร่อยค่ะ เพื่อนคนอื่น สั่งซ้ำกันอีกค่ะ
74,กินลมชมโขง,อาหารอีสาน,บึงกาฬ,72 ม .5 ต ปาก คาด อ ปาก คาด บึงกาฬ 38190,3.70,10:30 - 22:00,042086686,การเสาะหาร้านอาหารริมลำน้ำโขงในยามตะวันตกดินในละแวกบึงกาฬ ร้านกินลมชมโขงเปนร้านที่ผมเลือก เพราะเปนทางผ่านในการไปกราบนมัสการหลวงพ่อพระใสแลต้องกลับไปนอนค้างที่บึงกาฬ ร้านนี้ได้วิวที่ดีมากถึงแม้ว่าร้านจะไม่ได้ใหญ่โตโอ่อ่า แต่ก็ดูสะอาดตาแลอาหารมีรสชาติที่อร่อยใช้ได้ เมนูปลาเนื้ออ่อนทอดกระเทียมนั่นแหละวิเศษสุด ๆ เพราะขนาดพอเหมาะที่ยกขึ้นแทะได้ด้วยแพ้ความกรุบกรอบ ทอดมันปลากรายก็เหนียวหนึบหนับถึงเครื่องแกง กุ้งแช่น้ำปลาเนื้อหวานกรอบรสแซ่บ เสียดายที่ต้มยำนั้นรสชาติอ่อนไปนิดจนต้องหักคะแนน 555555 รวมความว่าอาหารดี ดนตรีเพราะ ได้สัมผัสบรรยากาศริมโขงที่บริสุทธิ์ สมกับค่ำร่ำลือว่าของเขาดีจริง ๆ ดังนี้.
75,ไก่ทอดเจ๊กี ส้มตำโปโล,อาหารอีสาน,กรุงเทพมหานคร,"137, ซอยสนามคลี, ลุมพินี, กรุงเทพมหานคร, 10330, ประเทศไทย กรุงเทพมหานคร",3.60,07:00 - 20:30,022520856,ไก่ทอดเจ๊กี ส้มตำโปโล ร้านส้มตำมีรางวัลมิชลินหลายปีซ้อน ร้านส้มตำในซอยโปโล ใกล้สวนลุมฯ ค่ะ ในซอยจอดรถไม่ได้ จอดรถที่สวนลุมเดินข้ามสะพานลอย เข้าซอยสนามคลี ไม่ไกลร้านจะอยู่ซ้ายมือเป็นห้องแอร์ ลูกค้าส่วนมากเป็นนักท่องเที่ยว
76,ร้านปักหลัก (ส้มตำ อาหารอีสาน ก๋วยเตี๋ยวเรือ กาแฟสด),"อาหารอีสาน, ก๋วยเตี๋ยว",กรุงเทพมหานคร,ถนน เลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,3.90,08:30 - 17:00,0865512055,"ร้านใหญ่ ที่จอดรถเยอะ สะดวก น่าสนใจ สำหรับคนที่อยากทานเมนูง่าย เร็วถูกปากอย่าง ก๋วยเตี๋ยวเรือ ส้มตำ ไก่ทอด คอหมูย่าง และอื่นๆ ในบรรยากาศเปิดโล่งหน่อย (ไม่มีแอร์) แต่ ด้วยความที่ พื้นที่กว้าง เพดานสูง อาจจะไม่ทำให้ร้อนมาก
เมนูก๋วยเตี๋ยวเรือ มีทั้งชามใหญ่ ชามเล็ก แต่ราคาย่อมเยาว์ อร่อยรสชาติดีแบบไม่ต้องปรุง หมู เนื้อ น้ำตกมีครบ
คอหมูย่าง ก็เนื้อเยอะอร่อย มาทานคู่กันสั่งได้ ไม่นาน .
เป็นร้านแนะนำสำหรับความสะดวก ทานง่าย มาได้หลายคน"
77,บ้านส้มตำ,อาหารอีสาน,กรุงเทพมหานคร,"35, ถนนสุรศักดิ์ สีลม บางรัก กรุงเทพมหานคร กรุงเทพมหานคร",3.90,11:00 - 21:30,022669919,บ้านส้มตำเป็นร้านขายอาหารอีสานชื่อดัง ที่มีหลายสาขา วันนี้มาทานที่สาขาสาทร สาขานี้ที่จอดรถหายากนิดนึง ลูกค้าค่อนข้างเยอะวันนี้สั่งเมนูตำส้มโอ ตำข้าวโพด ลาบเป็ด ต้มแซ่บกระดูกหมูอ่อน ตำไทย ตำอโวคาโด ตำซั่ว คอหมูย่าง ปลาซิวทอดและไอศกรีมมะพร้าว อาหารที่สั่งไปอร่อยทุกเมนู แต่วันนี้อยากแนะนำตำอโวคาโดคืออร่อยมาก อโวคาโดเนื้อมัน ๆ ตัดกับน้ำส้มตำเผ็ดเปรี้ยวหวาน อร่อยลงตัวอยากให้ลอง
78,ส้มตำคุณย่า,อาหารอีสาน,สงขลา,28/10 ถนน นิพัทธ์สงเคราะห์ 1 ซ. 4 ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110,3.60,11:30 - 20:30,0909499663,"มาตามรีวิว แอบหวั่นใจเล็กน้อยกลัวผิดหวัง
แต่ไม่ผิดหวังที่เลือกมาร้านนี้
เสียดายแค่ว่าเจ็บคออยู่เลยไม่ได้สั่งเมนูที่อยากทาน

1. แม่ค้าและน้องพนักงานเสริร์ฟน่ารัก เป็นกันเอง สุภาพ ชอบตรงที่มีใส่หมวกและผ้าคาดปาก แลดู hygiene ดี

2. รสชาติอาหารอร่อย แอบกลัวว่าใส่ผงชูรส แต่คิดว่าไม่น่าจะใส่ ถ้าใส่ก็น้อยมาก เพร่ะหลังทานเสร็จก็ไม่ได้รู้สึกหิวน้ำ เหมือนร้านอื่นที่เคยทาน

3. ความสะอาดของร้านถือว่าใช้ได้ เป็นห้องแอร์ และการล้างผักที่เจ้าของร้านบอกว่าล้างกับน้ำโอโซน แลดูใส่ใจดีนะ

ถามว่ากลับมาไหม แน่นอนเลย ครั้งหน้าจะทยอยสั่งเมนูที่อยากทานเมื่อร่างกายคนชิมพร้อมกว่านี้ แต่วันนี้ทานกันก็ไม่หมดนะ อิ่มมาก"
79,ยอดลาบเป็ดอุดร,อาหารอีสาน,กรุงเทพมหานคร,"
106, พระรามเก้า 49 สวนหลวง สวนหลวง กรุงเทพมหานคร",3.70,11:00 - 21:30,027183111,ร้านอาหารอีสาน ลาบเป็ดอุดร บรรยากาศร้านดี ร้านค่อนข้างใหญ่ ลูกค้าค่อนข้างเยอะ เมนูที่สั่งมีหอยแครงเผา ลาบเป็ด ตำปูปลาร้า เสือร้องไห้และต้มแซ่บ อาหารเผ็ด จัดจ้าน อร่อย
80,ครกไม้ไทยลาว,อาหารอีสาน,กรุงเทพมหานคร,"8, ลาดปลาเค้า 24 จรเข้บัว ลาดพร้าว กรุงเทพมหานคร กรุงเทพมหานคร",3.90,10:30 - 22:00,0891351230,ร้านอาหาร ครกไม้ ไทยลาว สาขาลาดปลาเค้า มาร้านนี้ ประจำ เพราะเป็น สาขาใกล้บ้าน วันนี้ ก็ เลือกนั่ง โซนห้องแอร์เหมือนเดิม เพราะ อากาศด้านนอก ค่อนข้างร้อน วันนี้ หิวมากๆ อาหารมาเสริฟ ไม่ทันได้ถ่ายรูป ก็ แย่งกัน หมดจาน แล้ว เมนู ประจำที่สั่งบ่อย คือ หมูยอทอด วันนี้ สั่ง ซ้ำ 2 รอบ เหมือนเดิม เพราะ ทอดมาร้อนๆ อร่อยๆ ไก่ย่าง ย่างมาร้อนๆ หนังกรอบๆ แกงป่า ปลาเนื้ออ่อน รสชาติ จัดจ้าน เข้มข้น ซดน้ำ คล่องคอ เนื้อย่าง ย่างมาร้อนๆ หอมๆ น้ำตกหมู จานนี้เพิ่งเคยสั่ง อร่อย เนื้อหมู มันน้อย ถูกใจมากๆ ตำไทยไข่เค็ม รสชาติจัดจ้าน ปลาส้มทอด เนื้อปลานุ่ม อร่อย เปรี้ยวไม่มาก แต่วันนี้ อาหาร ค่อนข้างได้ช้า ต้องทวงถามหลายรอบ หว่าจะได้ครบ
81,แซ่บอีลี่,อาหารอีสาน,กรุงเทพมหานคร,ถนน สีลม กรุงเทพมหานคร (ศูนย์การค้าสีลมคอมเพล็กซ์ ชั้นใต้ดิน),3.10,09:00 - 21:30,022313173,รสชาติโดยรวมแซ่บมากครับบอกเลย โดยเฉพาะน้ำปลาร้า เผ็ด มันจริงๆตำหลวงพระบาง เผ็ด เด็ดมากๆครับ ส่วน ตำข้าวโพดไข่เค็ม สดชื่นจริงๆ ออกหวานข้าวโพดนิดๆ
82,ไก่ย่างหนังกรอบป้าแก้ว,อาหารอีสาน,กรุงเทพมหานคร,ซอย ลาดกระบัง 13 กรุงเทพมหานคร (ปากซอย ลาดกระบัง 13 ใกล้กับร้านยาง),3.80,08:30 - 20:30,0937490777,เป็นร้านอาหารอีสานอีกร้านที่ชอบ ร้านสะอาด ห้องแอร์ บริการดี อาหารรวดเร็ว เมนูอีสานรสชาติจัดจ้าน เข้มข้น ราคาดี
83,นิตยาไก่ย่าง,อาหารอีสาน,กรุงเทพมหานคร,ซอย บรมราชชนนี 21 กรุงเทพมหานคร,3.80,10:00 - 21:00,028848280,"ร้านคนเยอะทุกสาขาจริงๆ​ แต่ที่จอดรถที่นี่กว้าง​ สะดวกสบาย
ไก่ย่างสะโพก​ อร่อยมาก​ แม่บอกขึ้นชื่อเลย​ใครๆก็​สั่ง
ส้มตาไทยไข่เค็ม​ ไม่ค่อยประทับใจ​ มะละกอให้น้อย​ เส้นมะละกอแบบเซ็งๆ​ ไม่กรอบไม่สดไงไม่รู้
น้ำตกหมู​ อร่อยใช้ได้​ เครื่องเยอะไปหน่อย"
84,ไก่บ้านย่างเขาสวนกวางป๋านึก,อาหารอีสาน,กรุงเทพมหานคร,ซอย บางนา-ตราด 23 กรุงเทพมหานคร (จากบางนาตราดตรงเข้าเซ็นทรัลบางนา เข้าไปประมาณ 1 กิโลเมตรจะเจอร้านอยู่ทางซ้ายมือ),3.50,11:00 - 21:30,0896687401,"อีกหนึ่งร้านอาหารอีสานที่แวะเวียนมาหลายครั้งละ เพราะติดใจในความหลากหลายของอาหารและรสชาติแซ่บ ๆ
โดยร้านนี้จะอยู่ด้านหลังเซนทรัลบางนา และมีที่จอดรถด้วยครับ"
85,ส้มตำเจ๊แดงสามย่าน,อาหารอีสาน,กรุงเทพมหานคร,"209, ซอยจุฬาฯ 48 วังใหม่ ปทุมวัน กรุงเทพมหานคร กรุงเทพมหานคร",3.80,10:30 - 16:00,022142590,"ถ้าพูดถึงร้านอาหารยอดนิยมในสามย่าน เชื่อว่ายังไงก็ต้องมีชื่อร้านนี้ติดโผ ส้มตำเจ๊แดงสามย่าน
ร้านส้มตำเจ้าเด็ดที่ตอนนี้สาขาในกรุงเทพเยอะมากกก"
86,ส้มตำคุณกัญจณ์,อาหารอีสาน,กรุงเทพมหานคร,6 ซอย วชิรธรรมสาธิต 23 กรุงเทพมหานคร (เข้าซอยมา 50 เมตร ร้านอยู่ขวามือ),3.80,10:00 - 21:00,023970770,ร้านอาหารไทยอีสานขนาดใหญ่ ที่ได้รางวัลMichelin บิบกูร์มองต่อเนื่องหลายปี ร้านมีทั้งส่วนที่เป็นห้องแอร์และด้านนอกที่เป็นเอ้าท์ดอร์เลือกนั่งได้ตามสบาย อาหารทำออกมารสชาติกำลังดีเมนูแนะนำคือไก่ย่างหนังกรอบ คอหมูย่างอบน้ำผึ้ง ยำกุ้งฟู ซี่โครงหมูตุ๋นใบชะมวง แกงเห็ด ปิดท้ายด้วยข้าวเหนียวมะม่วงที่ไม่หวานมากเกินไป อร่อยๆครับ
87,ไก่ย่างเสือใหญ่,อาหารอีสาน,กรุงเทพมหานคร,"16/7-16/8 , รัชดาภิเษก 36(เสือใหญ่อุทิศ) จันทรเกษม จตุจักร กรุงเทพมหานคร กรุงเทพมหานคร",3.80,10:00 - 21:00,025416441,"เป็นร้านที่มีมายาวนานคู่ซอยเสือใหญ่
ความเด็ดก็ต้องไก่ย่าง วันนี้สั่งครึ่งตัว มาทั้งน่อง สะโพก อก ปีก หนังกรอบดี เนื้อก็นุ่ม

ตำแครอทรสชาติพอใช้ได้ ออกหวาน

ต้มแซ่บหมู ทานแล้วสดชื่นดี"
88,เจ๊ก้อย,อาหารอีสาน,กรุงเทพมหานคร,"374 Phetchaburi Rd, Khwaeng Thung Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",3.60,10:00 - 03:00,0818183625,ได้ยินว่าร้านอาหารอีสานนี้ปรุงอาหารแซ่บมาก เลยมาจัดสักหน่อย เป็นร้านอาหารใกล้ BTS ราชเทวีเดินทางไปสะดวก เมนูที่สั่งมีหลายอย่างเลยค่ะ ทั้งตำถั่ว ตำซั่ว ยำหอยแครง ต้มซุปเปอร์ กุ้งแช่น้ำปลา และปากเป็ดทอง อร่อยทุกเมนู แต่ติดใจที่สุดคือส้มตำและยำหอยแครง ให้เยอะมากค่ะ
89,ส้มตำนาย ต. พัฒนาการ 30 (ส้มตำนายต. พัฒนาการ 30),อาหารอีสาน,กรุงเทพมหานคร,828 ถนน ริมคลองสามเสน บางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,4.20,10:30 - 21:30,0836998744,"พิกัดอยู่ใน ดง RCA ค่ะ ร้านนี้คนที่ทำงานใน RCA แนะนำมาค่ะ ถ้าเดินๆอยู่ไม่สังเกตก็ไม่เห็นร้านนี้เลยค่ะ คนเยอะอยู่นะคะ คนต่างชาติก็มีมานั่งทานเหมือนกันค่ะ เพราะอยู่ด้านหน้าคอนโดแห่งหนึ่งค่ะ
คอหมูย่างฟินสุด
ลาบหมูใช้ได้เลย
ส้มตำไทยไข่เค็มผ่านค่ะ
ไก่ทอด อร่อยค่ะ
สรุป มาลองกันนะคะ"
90,ตาแซบ อาหารอีสาน เขาใหญ่,อาหารอีสาน,นครราชสีมา,61 ตำบล หมูสี อำเภอปากช่อง นครราชสีมา 30130,4.80,11:00 - 21:00,0918712226," อาหารอร่อยทุกอย่าง แซ่บ ถูกใจคนชอบเปรี้ยว รสจัด แนะนำแหนมซี่โครงทอดพร้อมเครื่องเคียง อร่อย
ที่นั่งสบายๆ มีที่จอดรถ อยู่ติดถนนใหญ่เดินทางง่าย"
91,ขนมจีนครูยอดประโดกโคราช (Kanomcheenkruyod),อาหารอีสาน,นครราชสีมา,ตำบล หมื่นไวย อำเภอเมืองนครราชสีมา นครราชสีมา 30000,3.80,09:00 - 16:00,0892851717,"1.ร้านอาหารพื้นเมืองขึ้นชื่อของโคราช ขายมานานเก่าแก่ เป็นร้านส้มตำ และร้านอาหารอีสาน ที่ต้องเข้าซอยมาพอสมควร ด้านในมีที่จอดรถจำนวนมากและลูกค้ามาใช้บริการ กันเยอะ ภายในร้านมีที่จอดรถจำนวนมาก อีกทั้งภายในร้านยังมี โต๊ะรับเก้าอี้แบ่งออกเป็น 2 ส่วน การให้บริการและอาหารได้รวดเร็วรอไม่นาน
2.ภายในร้านตกแต่งสวยงาม ด้วยไม้ประดับต่างๆ
นอกจากอาหารประเภทอาหารอีสานแล้ว ยังมีจุดที่ ขายขนมของฝาก อยู่ตรงเคาน์เตอร์จ่ายเงินอีกด้วย"
92,ลาบสมพิศ (LAP SOMPHIT RESTAURANT),อาหารอีสาน,นครราชสีมา,169 ถ. จันทน์ ตำบลในเมือง อำเภอเมืองนครราชสีมา นครราชสีมา 30000,4.20,07:00 - 17:00,044245026,"1.เวลา: ความรวดเร็วในการสั่งอาหารเร็วมาก
2.รสชาติ : อร่อยทุกเมนุ โดยเฉพาะหม่ำ เสือร้องไห้อร่อยมาก
3.ที่นั่งร้าน : มีโต๊ะนั่งเยอะมาก โปร่ง โล่ง ไม่แออัด
4.อาหาร : หลากหลายเมนู เน้นอาหารอีสาน
5.ราคา : ราคาอาหารกลางๆ ไม่แพง
6.ความสะอาด : ให้ 5/5 คะแนน
7.ที่จอดรถ : ที่จอดรถน้อย จอดริมถนน"
93,PenLaos (เป็นลาว),อาหารอีสาน,นครราชสีมา,56 หมู่ 17 ถ. ธนะรัชต์ ตำบล หมูสี อำเภอปากช่อง นครราชสีมา 30450,4.00,09:30 - 19:00,0834613666,ใครมาเที่ยวเขาใหญ่ อยากทานร้านอาหารอีสานที่เมนูของทอดอร่อยๆ ไม่ควรพลาดร้านนี้ ร้านอยู่ใกล้ปากทางขึ้นเขาใหญ่ ร้านบรรยากาศโปร่งโล่งสบาย ที่จอดรถสะดวก ที่นั่งเยอะ ร้านมีเมนูหลากหลาย เมนูอาหารอีสานมีให้เลือกมากมาย
94,เจ๊น้อยกระโทก (Jae Noi Kratoke),อาหารอีสาน,นครราชสีมา,115 ถนน พิบูลละเอียด ตำบล หนองไผ่ล้อม อำเภอเมืองนครราชสีมา นครราชสีมา 30000,3.90,08:00 - 21:00,0879596141,ร้านเปิด 8.00-21.00 มีที่จอดรถหน้าร้าน มีที่นั่งเยอะ ลูกค้าเข้ามาเรื่อยๆ ร้านมีของฝากขาย 
